,sentence,target
0,Royal Mail chairman Donald Brydon set to step down,Appointment
1,Slump in Weir leads FTSE down from record high,Volatility
2,AstraZeneca wins FDA approval for key new lung cancer pill,Regulatory
3,UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan,Strategy
4,Standard Chartered Shifts Emerging-Markets Strategy After Losses,Strategy
5,AstraZeneca's Lung Cancer Drug Tagrisso Gets FDA Approval,Appointment
6,Severn Trent share price rises as first half profit inches up as customer ...,Price Action
7,Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil,Legal
8,Lloyds to cut 945 jobs as part of three-year restructuring strategy,Strategy
9,AstraZeneca to Buy ZS Pharma for $2.7 Billion,M&A
10,"Ackman, in email, says supports Valeant CEO Pearson",Company Communication
11,AstraZeneca sells US drug rights to Perrigo for $380 mln,M&A
12,"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion",M&A
13,CORRECTED-Shire to buy Dyax for about $5.9 bln,M&A
14,Barclays poised to replace Sir Mike Rake as he heads for exit,Appointment
15,AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,M&A
16,AstraZeneca shares climb 3% as drug maker ups profits forecasts,Price Action
17,Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,Sales
18,easyJet expects resilient demand to withstand security fears,Risks
19,Compass Group says positive for year ahead,Price Action
20,Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,Dividend Policy
21,US dollar wipes out sales gains for SABMiller,Sales
22,"UPDATE 1-SABMiller 2nd-quarter underlying sales rise, forex impacts margins",Sales
23,UPDATE 2-Pricey beers lift SABMiller's quarterly underlying sales,Sales
24,Valeant CEO Pledges to Heed Critics After `Painful' Experience,Company Communication
25,"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",Company Communication
26,StanChart and RBS struggle in Bank of England stress tests,Central Banks
27,REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue,Dividend Policy
28,Barclays sells benchmark indices unit to Bloomberg,Strategy
29,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",Price Action
30,"EU drops Shell, BP, Statoil from ethanol benchmark investigation",Insider Activity
31,AstraZeneca Explores Potential Deal With Acerta for Cancer Drug,M&A
32,Shell and BG Shareholders to Vote on Deal at End of January,Sales
33,AstraZeneca chases Acerta to secure next cancer drug winner,Buyside
34,CompaniesTesco off to a bad start over Xmas â€“ Kantar,Price Action
35,"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",Buyside
36,Why AstraZeneca plc & Dixons Carphone PLC Are Red-Hot Growth Stars!,Dividend Policy
37,BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal,M&A
38,ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,Price Action
39,Glencore Studies Possible IPO for Agricultural Trading Business,IPO
40,Can Christmas Save Sainsbury's plc And Tesco plc?,Rumors
41,UPDATE 1-AstraZeneca boosts respiratory unit with $575 mln Takeda deal,M&A
42,Bilfinger Industrial Services win Â£100m BP contract extension,Sales
43,"Standard Chartered, RBS Escape Capital Raising in Stress Test",Central Banks
44,AstraZeneca weighing up Acerta bid to secure blood cancer drug,Buyside
45,GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,M&A
46,2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc,Central Banks
47,L&G completes UK's largest medically underwritten bulk pension risk deal,Risks
48,Meggitt share price tumbles as profit falls in 'challenging year',Price Action
49,Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,M&A
50,Kingfisher share price slides on cost to implement new strategy,Price Action
51,Shire says internal synergy goals from Baxalta deal higher,Company Communication
